Codigo;Nombre
90;Rentistas de Capital solo personas Naturales
111;Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas.
112;Cultivo de arroz.
113;Cultivo de hortalizas, raes y tubrculos.
114;Cultivo de tabaco.
115;Cultivo de plantas textiles.
116;Produccion especializada de hortalizas y legumbres
117;Produccion especializada de frutas, nueces, plantas bebestibles y especias
118;Produccion agricola ncp en unidades especializadas
119;Otros cultivos transitorios n.c.p.
121;Cultivo de frutas tropicales y subtropicales.
122;Cultivo de pltano y banano.
123;Cultivo de café.
124;Cultivo de caña de azucar.
125;Cultivo de flor de corte.
126;Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos.
127;Cultivo de plantas con las que se preparan bebidas.
128;Cultivo de especias y de plantas aromticas y medicinales.
129;Otros cultivos permanentes n.c.p.
130;Propagación de plantas (actividades de los viveros, excepto viveros forestales).
140;Actividades de servicios, agricolas y ganaderos, excepto las actividades veterinarias
141;Cr de ganado bovino y bufalino.
142;Cr de caballos y otros equinos.
143;Cr de ovejas y cabras.
144;Cr de ganado porcino.
145;Cr de aves de corral.
149;Cr de otros animales n.c.p.
150;Explotación mixta (agrola y pecuaria).
161;Actividades de apoyo a la agricultura.
162;Actividades de apoyo a la ganader.
163;Actividades posteriores a la cosecha.
164;Tratamiento de semillas para propagación.
170;Caza ordinaria y mediante trampas y actividades de servicios conexas.
201;Silvicultura y explotacion de la madera
202;Actividades de servicios relacionadas con la silvicultura y la extraccion de la madera
210;Silvicultura y otras actividades forestales.
220;Extracción de madera.
230;Recolección de productos forestales diferentes a la madera.
240;Servicios de apoyo a la silvicultura.
311;Pesca marina.
312;Pesca de agua dulce.
321;Acuicultura marina.
322;Acuicultura de agua dulce.
501;Pesca y cultivo de peces en criaderos y granjas piscicolas
502;Actividades de servicios relacionadas con la pesca
510;Extracción de hulla (carbón de piedra).
511;Actividades del comercio al por mayor a cambio de una retribución...
520;Extracción de carbón lignito.
610;Extracción de petróleo crudo.
620;Extracción de gas natural.
710;Extracción de minerales de hierro.
721;Extracción de minerales de uranio y de torio.
722;Extracción de oro y otros metales preciosos.
723;Extracción de minerales de nuel.
729;Extracción de otros minerales metaleros no ferrosos n.c.p.
811;Extracción de piedra, arena, arcillas comunes, yeso y anhidrita.
812;Extracción de arcillas de uso industrial, caliza, caol y bentonitas.
820;Extracción de esmeraldas, piedras preciosas y semipreciosas.
891;Extracción de minerales para la fabricación de abonos y productos quimicos.
892;Extracción de halita (sal).
899;Extracción de otros minerales no metalicos n.c.p.
910;Actividades de apoyo para la extracción de petróleo y de gas natural.
990;Actividades de apoyo para otras actividades de explotación de minas y canteras.
1010;Extraccion y aglomeracion de hulla (carbon de piedra)
1011;Procesamiento y conservación de carne y productos cárnicos.
1012;Procesamiento y conservación de pescados, crustceos y moluscos.
1020;Procesamiento y conservación de frutas, legumbres, hortalizas y tubrculos.
1030;Elaboración de aceites y grasas de origen vegetal y animal.
1040;Elaboración de productos lacteos.
1051;Elaboración de productos de molinería.
1052;Elaboración de almidones y productos derivados del almidón.
1061;Trilla de café.
1062;Descaféinado, tostión y molienda del café.
1063;Otros derivados del café.
1071;Elaboración y refinación de azucar.
1072;Elaboración de panela.
1081;Elaboración de productos de panader.
1082;Elaboración de cacao, chocolate y productos de confitería.
1083;Elaboración de macarrones, fideos, alcuzcuz y productos farinceos similares.
1084;Elaboración de comidas y platos preparados.
1089;Elaboración de otros productos alimenticios n.c.p.
1090;Elaboración de alimentos preparados para animales.
1101;Destilación, rectificación y mezcla de bebidas alcohólicas.
1102;Elaboración de bebidas fermentadas no destiladas.
1103;Producción de malta, elaboración de cervezas y otras bebidas malteadas.
1104;Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas.
1110;Extraccion de petroleo crudo y de gas natural
1120;Actividades de servicios relacionadas con la extraccion de petroleo y gas, excepto las actividades de prospeccion
1200;Elaboración de productos de tabaco.
1310;Extraccion del mineral de hierro
1311;Preparación e hilatura de fibras textiles.
1312;Tejeduría de productos textiles.
1313;Acabado de productos textiles.
1320;Extraccion de metales preciosos Extraccion de minerales metaliferos no ferrosos, excepto y metales preciosos
1331;Extraccion de minerales de niquel
1339;Extraccion de otros minerales metaliferos no ferrosos.excepto niquel
1391;Fabricación de tejidos de punto y ganchillo.
1392;Confección de articulos con materiales textiles, excepto prendas de vestir.
1393;Fabricación de tapetes y alfombras para pisos.
1394;Fabricación de cuerdas, cordeles, cables, bramantes y redes.
1399;Fabricación de otros articulos textiles n.c.p.
1410;Confección de prendas de vestir, excepto prendas de piel.
1411;Extraccion de piedra, arena y arcillas comunes
1412;Extraccion de yeso y anhidrita
1413;Extraccion de caolin, arcillas de uso industrial y bentonitas
1414;Extraccion de arenas y gravas siliceas
1415;Extraccion de caliza y dolomita
1420;Fabricación de articulos de piel.
1421;Extraccion de minerales para la fabricacion de abonos y productos quimicos
1422;Extraccion de halita (sal)
1430;Fabricación de articulos de punto y ganchillo.
1431;Extraccion de esmeraldas
1432;Extraccion de otras piedras preciosas y semipreciosas
1490;Extraccion de otros minerales no metalicos ncp
1511;Curtido y recurtido de cueros, recurtido y teido de pieles.
1512;Fabricación de articulos de viaje, bolsos de mano y articulos similares elaborados en cuero, y fabricación de articulos de talabarter y guarnicioner.
1513;Fabricación de articulos de viaje, bolsos de mano y articulos similares, articulos de talabarter y guarnicioner elaborados en otros materiales.
1521;Fabricación de calzado de cuero y piel, con cualquier tipo de suela.
1522;Fabricación de otros tipos de calzado, excepto calzado de cuero y piel.
1523;Fabricación de partes del calzado.
1530;Elaboracion de productos lacteos
1541;Elaboracion de productos de molineria
1542;Elaboracion de almidones y de productos derivados del almidon
1543;Elaboracion de alimentos preparados para animales
1551;Elaboracion de productos de panaderia
1552;Elaboracion de macarrones, fideos, alcuzcuz y productos farinaceos similares
1561;Trilla de cafe
1562;Descafeinado
1563;Tostion y molienda de cafe
1564;Elaboracion de otros derivados del cafe
1571;Fabricacion y refinacion de azucar
1572;Fabricacion de panela
1581;Elaboracion de cacao, chocolate y productos de confiteria
1589;Elaboracion de otros productos alimenticios ncp
1591;Destilacion, rectificacion y mezcla de bebidas alcoholicas, produccion de alcohol etilico a partir de sustancias fermentadas
1592;Elaboracion de bebidas fermentadas no destiladas
1593;Produccion de malta, elaboracion de cervezas y otras bebidas malteadas
1594;Elaboracion de bebidas no alcoholicas produccion de aguas minerales
1600;Fabricacion de productos de tabaco
1610;Aserrado, acepillado e impregnación de la madera.
1620;Fabricación de hojas de madera para enchapado, fabricación de tableros contrachapados, tableros laminados, tableros de partulas y otros tableros y paneles.
1630;Fabricación de partes y piezas de madera, de carpinter y ebanister para la construcción.
1640;Fabricación de recipientes de madera.
1690;Fabricación de otros productos de madera, fabricación de articulos de corcho, cester y esparter.
1701;Fabricación de pulpas (pastas) celulóicas, papel y cartón.
1702;Fabricación de papel y cartón ondulado (corrugado), fabricación de envases, empaques y de embalajes de papel y cartón.
1709;Fabricación de otros articulos de papel y cartón.
1710;Preparacion e hilatura de fibras textiles
1720;Tejedura de productos textiles
1730;Acabado de productos textiles no producidos en la misma unidad de produccion
1741;Confeccion de articulos con materiales textiles no producidos en la misma unidad, excepto prendas de vestir
1742;Fabricacion de tapices y alfombras para pisos
1743;Fabricacion de cuerdas, cordeles, cables, bramantes y redes
1749;Fabricacion de otros articulos textiles ncp
1750;Fabricacion de tejidos y articulos de punto y ganchillo
1810;Fabricacion de prendas de vestir, excepto prendas de piel
1811;Actividades de impresión.
1812;Actividades de servicios relacionados con la impresión.
1820;Producción de copias a partir de grabaciones originales.
1910;Fabricación de productos de hornos de coque.
1921;Fabricación de productos de la refinación del petróleo.
1922;Actividad de mezcla de combustibles.
1923;Fabricacion de calzado de caucho, excepto el calzado deportivo
1924;Fabricacion de calzado de plastico, excepto el calzado deportivo
1925;Fabricacion de calzado deportivo, incluso el moldeado
1926;Fabricacion de partes de calzado
1929;Fabricacion de calzado ncp
1931;Fabricacion de articulos de viaje, bolsos de mano, y articulos similares elaborados en cuero fabricacion de articulos de talabarteria y guarnicioneria
1932;Fabricacion de articulos de viaje, bolsos de mano y articulos similares, elaborados en materiales sinteticos, plastico e imitaciones de cuero
1939;Fabricacion de articulos de viaje, bolsos de mano, y articulos similares elaborados con materiales ncp
2010;Aserrado, acepillado e impregnacion de la madera
2011;Fabricación de sustancias y productos quimicos básicos.
2012;Fabricación de abonos y compuestos inorgnicos nitrogenados.
2013;Fabricación de plasticos en formas primarias.
2014;Fabricación de caucho sinttico en formas primarias.
2020;Fabricacion de hojas de madera para enchapado fabricacion de tableros contrachapados, tableros laminados, tableros de particulas y otros tableros y paneles
2021;Fabricación de plaguicidas y otros productos quimicos de uso agropecuario.
2022;Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas.
