Código Departamento;Código Municipio;Código Centro Poblado;Nombre Departamento;Nombre Municipio;Nombre Centro Poblado
05;05001;05001000;ANTIOQUIA;MEDELLÍN;MEDELLÍN
05;05001;05001001;ANTIOQUIA;MEDELLÍN;PALMITAS
05;05001;05001004;ANTIOQUIA;MEDELLÍN;SANTA ELENA
05;05001;05001005;ANTIOQUIA;MEDELLÍN;PEDREGAL ALTO
05;05001;05001009;ANTIOQUIA;MEDELLÍN;ALTAVISTA
05;05001;05001010;ANTIOQUIA;MEDELLÍN;AGUAS FRÍAS
05;05001;05001012;ANTIOQUIA;MEDELLÍN;LA LOMA
05;05001;05001013;ANTIOQUIA;MEDELLÍN;SAN JOSÉ DEL MANZANILLO
05;05001;05001014;ANTIOQUIA;MEDELLÍN;BARRO BLANCO
05;05001;05001015;ANTIOQUIA;MEDELLÍN;EL CERRO
05;05001;05001017;ANTIOQUIA;MEDELLÍN;EL PATIO
05;05001;05001018;ANTIOQUIA;MEDELLÍN;EL PLACER
05;05001;05001019;ANTIOQUIA;MEDELLÍN;EL PLAN
05;05001;05001020;ANTIOQUIA;MEDELLÍN;EL TESORO
05;05001;05001022;ANTIOQUIA;MEDELLÍN;LA ALDEA
05;05001;05001023;ANTIOQUIA;MEDELLÍN;LA CUCHILLA
05;05001;05001024;ANTIOQUIA;MEDELLÍN;LA FLORIDA
05;05001;05001025;ANTIOQUIA;MEDELLÍN;LA PALMA
05;05001;05001027;ANTIOQUIA;MEDELLÍN;LAS PLAYAS
05;05001;05001029;ANTIOQUIA;MEDELLÍN;PIEDRA GORDA
05;05001;05001031;ANTIOQUIA;MEDELLÍN;POTRERITO
05;05001;05001032;ANTIOQUIA;MEDELLÍN;TRAVESIAS
05;05001;05001033;ANTIOQUIA;MEDELLÍN;URQUITA
05;05001;05001034;ANTIOQUIA;MEDELLÍN;BARRIOS DE JESÚS
05;05001;05001035;ANTIOQUIA;MEDELLÍN;BOQUERÓN
05;05001;05001036;ANTIOQUIA;MEDELLÍN;CHACALTAYA
05;05001;05001037;ANTIOQUIA;MEDELLÍN;EL CORAZÓN
05;05001;05001038;ANTIOQUIA;MEDELLÍN;EL JARDÍN
05;05001;05001039;ANTIOQUIA;MEDELLÍN;EL LLANO 1
05;05001;05001040;ANTIOQUIA;MEDELLÍN;EL LLANO 2
05;05001;05001041;ANTIOQUIA;MEDELLÍN;EL UVITO
05;05001;05001042;ANTIOQUIA;MEDELLÍN;LA AVANZADA
05;05001;05001043;ANTIOQUIA;MEDELLÍN;LA CRUZ
05;05001;05001044;ANTIOQUIA;MEDELLÍN;LA ESPERANZA
05;05001;05001045;ANTIOQUIA;MEDELLÍN;LA FRISOLA
